,k,c,w,min/max,dice,subject_id
0,1,1,2,min,0.9067729083665339,1.0
1,1,5,2,min,0.9389600602863603,1.0
2,1,10,2,min,0.9077238550922762,1.0
3,1,15,2,min,0.8546365914786967,1.0
4,1,20,2,min,0.8533668974197609,1.0
5,1,30,2,min,0.7720715522215811,1.0
6,1,40,2,min,0.7939698492462312,1.0
7,1,50,2,min,0.8023106546854942,1.0
8,1,60,2,min,0.8288409703504043,1.0
9,1,70,2,min,0.8057652711050103,1.0
10,1,80,2,min,0.8128491620111732,1.0
11,1,90,2,min,0.8803030303030303,1.0
12,10,1,2,min,0.9671892088953701,3.0
13,10,5,2,min,0.967753689196575,3.0
14,10,10,2,min,0.965088649241455,3.0
15,10,15,2,min,0.9587383091876032,3.0
16,10,20,2,min,0.9574155653450808,3.0
17,10,30,2,min,0.9594298245614035,3.0
18,10,40,2,min,0.9522945764556503,3.0
19,10,50,2,min,0.9480730957119595,3.0
20,10,60,2,min,0.9424253328535445,3.0
21,10,70,2,min,0.938585496866607,3.0
22,10,80,2,min,0.9332146037399822,3.0
23,10,90,2,min,0.9256840247131509,3.0
24,10,1,2,min,0.9584181448095377,4.0
25,10,5,2,min,0.9587688734030198,4.0
26,10,10,2,min,0.9538372763993076,4.0
27,10,15,2,min,0.953943580886586,4.0
28,10,20,2,min,0.9464387464387465,4.0
29,10,30,2,min,0.9331075359864521,4.0
30,10,40,2,min,0.9253897550111359,4.0
31,10,50,2,min,0.9110807113543091,4.0
32,10,60,2,min,0.8934800107324926,4.0
33,10,70,2,min,0.8733280881195908,4.0
34,10,80,2,min,0.8737864077669902,4.0
35,10,90,2,min,0.8726415094339622,4.0
36,10,1,2,min,0.9521410579345088,5.0
37,10,5,2,min,0.9521410579345088,5.0
38,10,10,2,min,0.9426391636055382,5.0
39,10,15,2,min,0.9354196301564722,5.0
40,10,20,2,min,0.9351166761525327,5.0
41,10,30,2,min,0.9299399485273091,5.0
42,10,40,2,min,0.9292641186537365,5.0
43,10,50,2,min,0.9285510959294051,5.0
44,10,60,2,min,0.9237312163311596,5.0
45,10,70,2,min,0.9233380480905233,5.0
46,10,80,2,min,0.9175808720112517,5.0
47,10,90,2,min,0.9146375594738315,5.0
48,10,1,2,min,0.8476190476190476,6.0
49,10,5,2,min,0.7818791946308725,6.0
50,10,10,2,min,0.7775947281713345,6.0
51,10,15,2,min,0.7694805194805194,6.0
52,10,20,2,min,0.7516129032258064,6.0
53,10,30,2,min,0.7447833065810594,6.0
54,10,40,2,min,0.7358184764991896,6.0
55,10,50,2,min,0.7331189710610932,6.0
56,10,60,2,min,0.6364812419146184,6.0
57,10,70,2,min,0.5448577680525164,6.0
58,10,80,2,min,0.5378868729989328,6.0
59,10,90,2,min,0.5246913580246914,6.0
60,10,1,2,min,0.929798356982823,7.0
61,10,5,2,min,0.9265917602996254,7.0
62,10,10,2,min,0.9060731799321011,7.0
63,10,15,2,min,0.9022272555681389,7.0
64,10,20,2,min,0.9031775700934579,7.0
65,10,30,2,min,0.8936484490398818,7.0
66,10,40,2,min,0.8844184345281638,7.0
67,10,50,2,min,0.869939089931924,7.0
68,10,60,2,min,0.8615165539337842,7.0
69,10,70,2,min,0.8493533729465222,7.0
70,10,80,2,min,0.8367911479944675,7.0
71,10,90,2,min,0.8216949152542373,7.0
72,10,1,2,min,0.9424083769633508,8.0
73,10,5,2,min,0.9287371561153464,8.0
74,10,10,2,min,0.918918918918919,8.0
75,10,15,2,min,0.9158069883527454,8.0
76,10,20,2,min,0.9127115831397279,8.0
77,10,30,2,min,0.9048248512888302,8.0
78,10,40,2,min,0.8999674160964484,8.0
79,10,50,2,min,0.8948214860083629,8.0
80,10,60,2,min,0.8876226654004432,8.0
81,10,70,2,min,0.883075953356445,8.0
82,10,80,2,min,0.8743373869660118,8.0
83,10,90,2,min,0.8657821659981487,8.0
84,10,1,2,min,0.9624621123805083,9.0
85,10,5,2,min,0.966542750929368,9.0
86,10,10,2,min,0.9638947123223853,9.0
87,10,15,2,min,0.9646569646569647,9.0
88,10,20,2,min,0.9548357664233577,9.0
89,10,30,2,min,0.9386200716845878,9.0
90,10,40,2,min,0.9223985890652557,9.0
91,10,50,2,min,0.8993548387096775,9.0
92,10,60,2,min,0.9031134334857391,9.0
93,10,70,2,min,0.9019349164467898,9.0
94,10,80,2,min,0.9062918340026773,9.0
95,10,90,2,min,0.8863985937156669,9.0
96,10,1,2,min,0.945273631840796,10.0
97,10,5,2,min,0.9408846630839189,10.0
98,10,10,2,min,0.9383730484798686,10.0
99,10,15,2,min,0.9283970707892596,10.0
100,10,20,2,min,0.9110663983903421,10.0
101,10,30,2,min,0.8953809711804185,10.0
102,10,40,2,min,0.9009080142123964,10.0
103,10,50,2,min,0.9101844426623897,10.0
104,10,60,2,min,0.9048968029138,10.0
105,10,70,2,min,0.9020080321285141,10.0
106,10,80,2,min,0.8964414234306277,10.0
107,10,90,2,min,0.8879967884383781,10.0
